policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P1,48,P1_K48,5,2,2.2897881278622005,2.175068583051498,2.9802229539515963,3.2585541959193165,0.9981718464351006,1.0,0.028697609864269003,0.12224484141034882,0.0,0,0.0,547,0,47
P1,48,P1_K48,6,2,2.294573261205944,2.169533660174352,2.980222953951426,3.3664208828490416,0.9981684981684982,1.0,0.029359576007695055,0.12396886769142139,0.0,0,0.0,546,0,48
P1,48,P1_K48,7,2,2.3001750295672165,2.169533660173979,3.0130170281807716,3.3726313973214848,1.0,1.0,0.03162894677567449,0.12302650960170809,0.0,0,0.0,574,0,49
P1,48,P1_K48,8,2,2.319277169806871,2.1775238837466304,2.980222953951852,3.3664208828490416,0.9965217391304347,0.9982608695652174,0.031246044374177717,0.15205178555097398,0.0,0,0.0,575,0,50
P1,48,P1_K48,9,2,2.340342451639247,2.182203716683375,3.166203834015704,3.38416520991359,0.9983361064891847,0.9983361064891847,0.03265465095926156,0.14837365433177008,0.0,0,0.0,601,0,51
P1,48,P1_K48,10,2,2.2992852499563945,2.1775238837466304,3.027071631421734,3.38416520991359,0.9983552631578947,1.0,0.032578456792171494,0.1386942599905052,0.0,0,0.0,608,0,52
P1,48,P1_K48,11,2,2.3780966959480234,2.2393779790519375,3.157943969500252,3.6422620723060177,0.9982964224872232,1.0,0.031900713652319786,0.11523479250727248,0.0,0,0.0,587,0,53
P1,48,P1_K48,12,2,2.2978406190064895,2.1695336601734994,2.980222953951852,3.38416520991359,1.0,1.0,0.028798581907346316,0.14218131529081215,0.0,0,0.0,539,0,54
P1,48,P1_K48,13,2,2.3785557311232517,2.239794818735561,3.1662038340160024,3.6316422464997835,0.9965156794425087,0.9965156794425087,0.03060656416651918,0.13225543464053488,0.0,0,0.0,574,0,55
P1,48,P1_K48,14,2,2.299654421990592,2.169533660173606,3.1579439694998257,3.4473857420054252,1.0,1.0,0.0308778317104936,0.1496790853793113,0.0,0,0.0,569,0,56
P1,48,P1_K48,15,2,2.3357880691453654,2.2309325535883318,3.166203834015704,3.499444600819288,1.0,1.0,0.029886579167809877,0.10846192305825653,0.0,0,0.0,573,0,57
P1,48,P1_K48,16,2,2.3396282165772035,2.229924732218933,2.989592689445828,3.38416520991359,0.998211091234347,0.998211091234347,0.02990865781150692,0.11906307583993858,0.0,0,0.0,559,0,58
P1,48,P1_K48,17,2,2.327221831915614,2.2185390586123965,3.157943969500028,3.38416520991359,1.0,1.0,0.030606729184309827,0.13218447333415803,0.0,0,0.0,578,0,59
P1,48,P1_K48,18,2,2.2962101576023404,2.169533660173606,2.9802229539516816,3.3664208828490416,0.9983739837398374,0.9983739837398374,0.033356692032331256,0.15369502918763706,0.0,0,0.0,615,0,60
P1,48,P1_K48,19,2,2.3391664980313904,2.1747971145639156,3.166203834015704,3.4994446008188618,0.9982817869415808,0.9982817869415808,0.030457175617301147,0.13370985235467117,0.0,0,0.0,582,0,61
P1,48,P1_K48,20,2,2.3117903466179963,2.2071533850055403,2.980222953951852,3.366420882849468,1.0,1.0,0.03088080833712599,0.12721206243617728,0.0,0,0.0,584,0,62
P1,48,P1_K48,21,2,2.3330786912135855,2.1775238837466304,3.166203834015704,3.366420882849468,0.996415770609319,1.0,0.03007786283788857,0.1058356457040068,0.0,0,0.0,558,0,63
