Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp3_demand_sensitivity,P0,demand_multiplier,0.5,Mean Utilization,0.0379,0.002,0.0372,0.0386
exp3_demand_sensitivity,P0,demand_multiplier,0.75,Mean RT (min),3.146,0.0624,3.1236,3.1683
exp3_demand_sensitivity,P0,demand_multiplier,0.75,"P90 Response Time (90th percentile, min)",5.2353,0.3856,5.0974,5.3733
exp3_demand_sensitivity,P0,demand_multiplier,0.75,6-min Coverage (NYC),0.9417,0.013,0.937,0.9463
exp3_demand_sensitivity,P0,demand_multiplier,0.75,8-min Coverage (NFPA),0.9969,0.0024,0.996,0.9977
exp3_demand_sensitivity,P0,demand_multiplier,0.75,Mean Utilization,0.0577,0.0026,0.0568,0.0587
exp3_demand_sensitivity,P0,demand_multiplier,1.0,Mean RT (min),3.1651,0.065,3.1418,3.1883
exp3_demand_sensitivity,P0,demand_multiplier,1.0,"P90 Response Time (90th percentile, min)",5.3338,0.3457,5.2101,5.4575
exp3_demand_sensitivity,P0,demand_multiplier,1.0,6-min Coverage (NYC),0.9396,0.011,0.9357,0.9436
exp3_demand_sensitivity,P0,demand_multiplier,1.0,8-min Coverage (NFPA),0.9967,0.0021,0.9959,0.9974
exp3_demand_sensitivity,P0,demand_multiplier,1.0,Mean Utilization,0.0757,0.0032,0.0746,0.0768
exp3_demand_sensitivity,P0,demand_multiplier,1.25,Mean RT (min),3.2203,0.0466,3.2036,3.237
exp3_demand_sensitivity,P0,demand_multiplier,1.25,"P90 Response Time (90th percentile, min)",5.5208,0.3307,5.4024,5.6391
exp3_demand_sensitivity,P0,demand_multiplier,1.25,6-min Coverage (NYC),0.9341,0.0087,0.931,0.9372
exp3_demand_sensitivity,P0,demand_multiplier,1.25,8-min Coverage (NFPA),0.9949,0.0024,0.994,0.9957
exp3_demand_sensitivity,P0,demand_multiplier,1.25,Mean Utilization,0.0971,0.0046,0.0954,0.0988
exp3_demand_sensitivity,P0,demand_multiplier,1.5,Mean RT (min),3.2752,0.0501,3.2573,3.2932
exp3_demand_sensitivity,P0,demand_multiplier,1.5,"P90 Response Time (90th percentile, min)",5.7124,0.2117,5.6367,5.7882
exp3_demand_sensitivity,P0,demand_multiplier,1.5,6-min Coverage (NYC),0.926,0.009,0.9228,0.9293
exp3_demand_sensitivity,P0,demand_multiplier,1.5,8-min Coverage (NFPA),0.9929,0.0032,0.9917,0.994
exp3_demand_sensitivity,P0,demand_multiplier,1.5,Mean Utilization,0.1173,0.0037,0.116,0.1186
exp3_demand_sensitivity,P0,demand_multiplier,2.0,Mean RT (min),3.3586,0.0524,3.3399,3.3773
exp3_demand_sensitivity,P0,demand_multiplier,2.0,"P90 Response Time (90th percentile, min)",5.854,0.1596,5.7969,5.9111
exp3_demand_sensitivity,P0,demand_multiplier,2.0,6-min Coverage (NYC),0.9166,0.0095,0.9132,0.92
exp3_demand_sensitivity,P0,demand_multiplier,2.0,8-min Coverage (NFPA),0.9892,0.0027,0.9882,0.9902
exp3_demand_sensitivity,P0,demand_multiplier,2.0,Mean Utilization,0.1562,0.0054,0.1542,0.1581
exp3_demand_sensitivity,P1,demand_multiplier,0.5,Mean RT (min),2.5267,0.0617,2.5046,2.5488
exp3_demand_sensitivity,P1,demand_multiplier,0.5,"P90 Response Time (90th percentile, min)",3.6915,0.1406,3.6412,3.7419
exp3_demand_sensitivity,P1,demand_multiplier,0.5,6-min Coverage (NYC),0.9864,0.0069,0.9839,0.9888
exp3_demand_sensitivity,P1,demand_multiplier,0.5,8-min Coverage (NFPA),0.9979,0.0029,0.9969,0.9989
